PRO_COM_T,COD_REG,COMUNE,Abitanti
001293,1,Verolengo,4846
002072,1,Lozzolo,820
002078,1,Mollia,96
002079,1,Moncrivello,1385
002082,1,Motta de' Conti,746
002088,1,Olcenengo,797
002089,1,Oldenico,211
002090,1,Palazzolo Vercellese,1147
002091,1,Pertengo,289
002093,1,Pezzana,1291
002096,1,Pila,139
002097,1,Piode,183
002102,1,Postua,561
002104,1,Prarolo,712
002107,1,Quarona,3951
002108,1,Quinto Vercellese,382
002110,1,Rassa,62
002113,1,Rimella,132
002115,1,Rive,451
002116,1,Roasio,2347
002118,1,Ronsecco,551
002121,1,Rossa,175
002122,1,Rovasenda,928
002126,1,Salasco,220
002127,1,Sali Vercellese,102
002128,1,Saluggia,3883
002131,1,San Germano Vercellese,1522
002134,1,Scopa,372
002135,1,Scopello,365
002137,1,Serravalle Sesia,4870
002142,1,Stroppiana,1180
002147,1,Tricerro,697
002150,1,Tronzano Vercellese,3430
002152,1,Valduggia,1933
002163,1,Villarboit,410
002164,1,Villata,1554
002166,1,Vocca,160
002170,1,Alto Sermenza,151
002171,1,Cellio con Breia,969
055024,10,Otricoli,1807
055025,10,Parrano,489
055026,10,Penna in Teverina,1076
055027,10,Polino,223
055028,10,Porano,1910
055029,10,San Gemini,4911
002032,1,Carisio,775
002033,1,Casanova Elvo,210
002035,1,San Giacomo Vercellese,290
002041,1,Cervatto,58
002042,1,Cigliano,4371
002043,1,Civiasco,253
002045,1,Collobiano,88
002047,1,Costanzana,744
002048,1,Cravagliana,254
002052,1,Crova,408
002054,1,Desana,1066
002057,1,Fobello,186
002058,1,Fontanetto Po,1091
002059,1,Formigliana,487
002062,1,Ghislarengo,826
002065,1,Greggio,346
002066,1,Guardabosone,340
002067,1,Lamporo,521
002068,1,Lenta,813
002070,1,Lignana,545
002071,1,Livorno Ferraris,4306
084039,19,Sant'Angelo Muxaro,1241
084040,19,Santo Stefano Quisquina,4337
084042,19,Siculiana,4313
084043,19,Villafranca Sicula,1371
085001,19,Acquaviva Platani,918
085002,19,Bompensiere,526
085003,19,Butera,4411
085005,19,Campofranco,2854
085006,19,Delia,4106
085008,19,Marianopoli,1737
085010,19,Milena,2888
085011,19,Montedoro,1462
085014,19,Resuttano,1862
055030,10,San Venanzo,2197
055031,10,Stroncone,4766
055033,10,Avigliano Umbro,2453
056002,12,Arlena di Castro,837
056003,12,Bagnoregio,3556
056004,12,Barbarano Romano,1030
056005,12,Bassano Romano,4729
056006,12,Bassano in Teverina,1283
056007,12,Blera,3127
056008,12,Bolsena,3865
056009,12,Bomarzo,1743
056010,12,Calcata,907
056011,12,Canepina,3032
056013,12,Capodimonte,1690
056016,12,Carbognano,1937
056017,12,Castel Sant'Elia,2557
056018,12,Castiglione in Teverina,2305
056019,12,Celleno,1308
056020,12,Cellere,1110
056022,12,Civitella d'Agliano,1551
056023,12,Corchiano,3672
084035,19,San Biagio Platani,3088
084037,19,Santa Elisabetta,2267
003022,1,Bolzano Novarese,1170
003023,1,Borgolavezzaro,2009
003026,1,Briga Novarese,2818
003027,1,Briona,1121
003030,1,Caltignaga,2504
003036,1,Carpignano Sesia,2510
003037,1,Casalbeltrame,974
003039,1,Casaleggio Novara,911
003040,1,Casalino,1531
003041,1,Casalvolone,888
003042,1,Castellazzo Novarese,324
003044,1,Cavaglietto,389
003045,1,Cavaglio d'Agogna,1185
003047,1,Cavallirio,1314
003051,1,Colazza,467
003052,1,Comignago,1245
003055,1,Cressa,1608
003058,1,Cureggio,2594
003060,1,Divignano,1402
003062,1,Dormelletto,2573
003065,1,Fara Novarese,2027
003066,1,Fontaneto d'Agogna,2620
003069,1,Garbagna Novarese,1424
003070,1,Gargallo,1775
003073,1,Ghemme,3467
003077,1,Granozzo con Monticello,1345
003079,1,Grignasco,4379
003082,1,Invorio,4328
003083,1,Landiona,547
003084,1,Lesa,2212
003088,1,Maggiora,1639
003090,1,Mandello Vitta,227
003091,1,Marano Ticino,1639
003093,1,Massino Visconti,1107
003095,1,Meina,2441
003097,1,Mezzomerico,1237
003098,1,Miasino,787
003100,1,Momo,2481
003103,1,Nebbiuno,1797
003104,1,Nibbiola,814
003109,1,Oleggio Castello,2174
003112,1,Orta San Giulio,1341
003114,1,Paruzzaro,2173
003115,1,Pella,928
003116,1,Pettenasco,1350
003119,1,Pisano,814
003120,1,Pogno,1381
003121,1,Pombia,2140
003122,1,Prato Sesia,1868
003129,1,Recetto,945
003130,1,Romagnano Sesia,3860
003133,1,San Maurizio d'Opaglio,3039
003134,1,San Nazzaro Sesia,740
003135,1,San Pietro Mosezzo,1958
003138,1,Sillavengo,554
003139,1,Sizzano,1407
003140,1,Soriso,747
003141,1,Sozzago,1078
003143,1,Suno,2731
003144,1,Terdobbiate,467
003146,1,Tornaco,921
003153,1,Vaprio d'Agogna,976
003154,1,Varallo Pombia,4922
003158,1,Vespolate,2028
003159,1,Vicolungo,867
003164,1,Vinzaglio,546
085020,19,Sutera,1299
085021,19,Vallelunga Pratameno,3331
085022,19,Villalba,1526
086002,19,Aidone,4674
003001,1,Agrate Conturbia,1572
003002,1,Ameno,958
003006,1,Armeno,2162
003012,1,Barengo,760
003018,1,Biandrate,1296
003019,1,Boca,1152
003021,1,Bogogno,1275
004043,1,Carrù,4345
004044,1,Cartignano,174
001015,1,Bairo,802
001016,1,Balangero,3136
001017,1,Baldissero Canavese,535
001018,1,Baldissero Torinese,3659
001019,1,Balme,112
001020,1,Banchette,3225
001021,1,Barbania,1598
001022,1,Bardonecchia,3159
001023,1,Barone Canavese,578
001025,1,Bibiana,3476
001026,1,Bobbio Pellice,546
001027,1,Bollengo,2135
001029,1,Borgiallo,597
001030,1,Borgofranco d'Ivrea,3631
001031,1,Borgomasino,796
001032,1,Borgone Susa,2210
001033,1,Bosconero,3107
001035,1,Bricherasio,4600
001036,1,Brosso,401
001037,1,Brozolo,443
001039,1,Brusasco,1498
001040,1,Bruzolo,1519
001054,1,Cantoira,585
001055,1,Caprie,2078
001056,1,Caravino,911
001057,1,Carema,765
001041,1,Buriasco,1355
001042,1,Burolo,1135
001043,1,Busano,1637
001046,1,Cafasse,3383
001049,1,Campiglione Fenile,1339
001050,1,Candia Canavese,1214
001052,1,Canischio,274
001053,1,Cantalupa,2590
001001,1,Agliè,2638
001002,1,Airasca,3696
001003,1,Ala di Stura,453
001004,1,Albiano d'Ivrea,1641
001007,1,Alpette,246
001009,1,Andezeno,2058
001010,1,Andrate,495
001011,1,Angrogna,845
001012,1,Arignano,1081
001014,1,Azeglio,1250
001103,1,Fenestrelle,506
001104,1,Fiano,2639
001105,1,Fiorano Canavese,764
001106,1,Foglizzo,2284
001107,1,Forno Canavese,3321
001108,1,Frassinetto,263
001109,1,Front,1662
001110,1,Frossasco,2876
001111,1,Garzigliana,551
001113,1,Germagnano,1131
001114,1,Giaglione,602
001116,1,Givoletto,3974
001117,1,Gravere,671
001118,1,Groscavallo,192
001119,1,Grosso,1000
001121,1,Ingria,47
001122,1,Inverso Pinasca,701
001123,1,Isolabella,379
001124,1,Issiglio,395
001126,1,La Cassa,1795
001128,1,Lanzo Torinese,4986
001129,1,Lauriano,1494
001131,1,Lemie,164
001132,1,Lessolo,1802
001133,1,Levone,445
001134,1,Locana,1427
001135,1,Lombardore,1721
001136,1,Lombriasco,1053
001137,1,Loranzè,1154
001140,1,Lusernetta,508
001141,1,Lusigliè,565
001142,1,Macello,1158
001143,1,Maglione,411
001144,1,Marentino,1304
001145,1,Massello,53
001146,1,Mathi,3889
001147,1,Mattie,663
001148,1,Mazzè,4194
001149,1,Meana di Susa,827
001150,1,Mercenasco,1269
001152,1,Mezzenile,761
001153,1,Mombello di Torino,379
001060,1,Casalborgone,1880
001061,1,Cascinette d'Ivrea,1517
001062,1,Caselette,3041
001064,1,Castagneto Po,1757
001065,1,Castagnole Piemonte,2202
001067,1,Castelnuovo Nigra,414
001069,1,Cavagnolo,2247
001071,1,Cercenasco,1781
001072,1,Ceres,1033
001073,1,Ceresole Reale,163
001074,1,Cesana Torinese,940
001075,1,Chialamberto,355
001076,1,Chianocco,1590
001077,1,Chiaverano,2045
001079,1,Chiesanuova,220
001080,1,Chiomonte,881
001081,1,Chiusa di San Michele,1601
001083,1,Ciconio,385
001084,1,Cintano,245
001085,1,Cinzano,328
001087,1,Claviere,204
001088,1,Coassolo Torinese,1491
001089,1,Coazze,3196
001091,1,Colleretto Castelnuovo,302
001092,1,Colleretto Giacosa,584
001093,1,Condove,4485
001094,1,Corio,3183
001095,1,Cossano Canavese,463
001096,1,Cuceglio,959
001100,1,Exilles,238
001102,1,Feletto,2240
001180,1,Pavarolo,1127
001181,1,Pavone Canavese,3757
001183,1,Pecetto Torinese,4102
001184,1,Perosa Argentina,3169
001185,1,Perosa Canavese,527
001186,1,Perrero,624
001187,1,Pertusio,746
001188,1,Pessinetto,617
001190,1,Pinasca,2918
001193,1,Piobesi Torinese,3856
001195,1,Piscina,3350
001196,1,Piverone,1373
001198,1,Pomaretto,986
001199,1,Pont-Canavese,3210
001200,1,Porte,1054
001201,1,Pragelato,770
001202,1,Prali,248
001203,1,Pralormo,1908
001204,1,Pramollo,217
001205,1,Prarostino,1270
001206,1,Prascorsano,731
001207,1,Pratiglione,481
001208,1,Quagliuzzo,330
001209,1,Quassolo,352
001210,1,Quincinetto,1029
001211,1,Reano,1776
001212,1,Ribordone,49
001213,1,Rivalba,1162
001215,1,Riva presso Chieri,4765
001216,1,Rivara,2537
001218,1,Rivarossa,1577
001220,1,Robassomero,3031
001221,1,Rocca Canavese,1716
001222,1,Roletto,2026
001223,1,Romano Canavese,2665
001224,1,Ronco Canavese,299
001225,1,Rondissone,1883
001226,1,Rorà,231
001227,1,Roure,789
001229,1,Rubiana,2385
001230,1,Rueglio,785
001231,1,Salassa,1842
001232,1,Salbertrand,623
001233,1,Salerano Canavese,468
001234,1,Salza di Pinerolo,75
001235,1,Samone,1532
001237,1,San Carlo Canavese,4012
001238,1,San Colombano Belmonte,348
001239,1,San Didero,524
001240,1,San Francesco al Campo,4882
001241,1,Sangano,3729
001242,1,San Germano Chisone,1747
001243,1,San Gillio,3148
001154,1,Mompantero,643
001155,1,Monastero di Lanzo,335
001157,1,Moncenisio,33
001158,1,Montaldo Torinese,714
001159,1,Montalenghe,989
001160,1,Montalto Dora,3380
001162,1,Monteu da Po,840
001163,1,Moriondo Torinese,852
001165,1,Noasca,110
001167,1,Nomaglio,295
001169,1,Novalesa,526
001170,1,Oglianico,1460
001172,1,Orio Canavese,767
001173,1,Osasco,1168
001174,1,Osasio,911
001175,1,Oulx,3316
001176,1,Ozegna,1192
001177,1,Palazzo Canavese,852
001178,1,Pancalieri,2046
001179,1,Parella,417
001294,1,Verrua Savoia,1389
001295,1,Vestignè,802
001296,1,Vialfrè,248
001298,1,Vidracco,513
001300,1,Villafranca Piemonte,4602
001301,1,Villanova Canavese,1214
001302,1,Villarbasse,3482
001303,1,Villar Dora,2847
001304,1,Villareggia,1010
